case,backend,wall_s,compile_s,n_steps,us_per_step,freq_MHz,batch,notes
vacask,klu,1.193,,24764,48.2,289.60,,adaptive_trap rejected=1
circulax_fixed,klu_split,16.901,0.54,20000,845.0,288.88,,t1=1000ns
circulax_fixed,klu_rs_split,16.370,0.56,20000,818.5,288.88,,t1=1000ns
circulax_adaptive,klu_split,,,,,,,NaN
circulax_vmap,klu_split,13.414,14.47,,838.6,,4,t1=200ns finite=4/4
circulax_vmap,klu_split,27.298,28.26,,853.3,,8,t1=200ns finite=8/8
circulax_vmap,klu_rs_split,13.719,14.52,,857.7,,4,t1=200ns finite=4/4
circulax_vmap,klu_rs_split,27.226,27.97,,851.0,,8,t1=200ns finite=8/8
circulax_vmap,klu_rs_split,104.766,106.36,,818.7,,32,t1=200ns finite=32/32
circulax_vmap,klu_split,15.206,16.33,,950.6,,4,t1=200ns finite=4/4
circulax_vmap,klu_split,30.242,32.34,,945.3,,8,t1=200ns finite=8/8
circulax_vmap,klu_rs_split,6.614,7.61,,413.5,,4,t1=200ns finite=4/4
circulax_vmap,klu_rs_split,10.558,11.28,,330.0,,8,t1=200ns finite=8/8
circulax_vmap,klu_split,10.411,11.18,,325.4,,8,t1=200ns finite=8/8
circulax_vmap,klu_rs_split,16.869,18.04,,263.6,,16,t1=200ns finite=16/16
circulax_vmap,klu_rs_split,30.189,31.39,,235.9,,32,t1=200ns finite=32/32
vacask,klu,1.211,,24764,48.9,289.60,,adaptive_trap rejected=1
circulax_fixed,klu_split,16.933,0.54,20000,846.7,288.88,,t1=1000ns
circulax_fixed,klu_rs_split,16.423,0.55,20000,821.2,288.88,,t1=1000ns
circulax_fixed,klu_rs_split,17.388,0.55,20000,869.4,288.88,,t1=1000ns
circulax_vmap,klu_rs_split,10.339,11.84,,323.2,,8,t1=200ns finite=8/8
circulax_vmap,klu_rs_split,30.442,32.37,,237.9,,32,t1=200ns finite=32/32
circulax_fixed,klu_rs_split,16.822,0.54,20000,841.1,288.88,,t1=1000ns
circulax_vmap,klu_rs_split,30.419,31.56,,237.7,,32,t1=200ns finite=32/32
circulax_fixed,klu_rs_split,16.866,0.55,20000,843.3,173.79,,t1=1000ns n_stages=15
circulax_vmap,klu_rs_split,14.267,15.44,,445.9,,8,t1=200ns finite=8/8
circulax_vmap,klu_rs_split,47.529,48.70,,371.4,,32,t1=200ns finite=32/32
circulax_vmap,klu_rs_split,89.196,91.69,,348.5,,64,t1=200ns finite=64/64
circulax_fixed,klu_rs_split,25.318,0.58,20000,1265.9,78.92,,t1=1000ns n_stages=33
circulax_fixed,klu_rs_split,31.601,0.56,20000,1580.1,51.13,,t1=1000ns n_stages=51
circulax_fixed,klu_rs_split,19.042,0.66,20000,952.1,288.88,,t1=1000ns n_stages=9
circulax_fixed,klu_rs_split,19.244,0.65,20000,962.2,288.88,,t1=1000ns n_stages=9
circulax_fixed,klu_rs_split,7.532,0.56,20000,376.6,288.88,,t1=1000ns n_stages=9
circulax_vmap,klu_rs_split,3.441,4.56,,107.5,,8,t1=200ns finite=8/8
circulax_vmap,klu_rs_split,8.280,9.51,,64.7,,32,t1=200ns finite=32/32
circulax_fixed,klu_rs_split,7.540,0.57,20000,377.0,173.79,,t1=1000ns n_stages=15
circulax_fixed,klu_rs_split,9.851,0.57,20000,492.6,78.92,,t1=1000ns n_stages=33
circulax_fixed,klu_rs_split,12.114,0.55,20000,605.7,51.13,,t1=1000ns n_stages=51
